제목,저자,출판사,발행일,정가,판매가,리뷰수,판매지수,상세정보,설명,상세페이지URL
된다! 하루 만에 끝내는 제미나이 활용법,권서림,이지스퍼블리싱,2025년 11월,20000,18000,62,"92,187",N/A,"업무·SNS·일상 어디든 활용할 수 있는 70가지 예제로 제미나이를 쉽게 배운다!스마트폰 속 제미나이 앱과 노트북LM, 구글 AI 스튜디오까지 200% 활용하자!이 책은 AI에 쉽게 적응하고 싶은 초보자를 위한 제미나이 ...",https://www.yes24.com/product/goods/163301895
요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호,골든래빗,2026년 02월,28000,25200,2,"26,106",N/A,"구글의 야심작 안티그래비티! 0원으로 시작하는 바이브 코딩!UI 디자인, TDD와 클린 아키텍처, 수익형 서비스까지 5가지 실전 예제로 완성하는 최강 레시피!제미나이, 클로드, GPT까지 AI 에이전트 군단을 지휘하는 ...",https://www.yes24.com/product/goods/174658020
누구나 아는 나만 모르는 제미나이,이성원,한빛미디어,2026년 01월,19000,17100,11,"26,031",N/A,"왕초보를 위한 세상에서 가장 쉬운 제미나이 & AI 입문서!제미나이 3 최신 버전으로 학습한다!구글이 만든 요즘 대세 AI 제미나이, 이 책은 IT에 서툰 분도 단숨에 제미나이를 다룰 수 있도록 세상에서 가장 쉽고 친...",https://www.yes24.com/product/goods/172517063
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,코리아닷컴(Korea.com),2025년 08월,27000,24300,44,"59,490",N/A,대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.이제 프롬프트는 새로운 교양이다....,https://www.yes24.com/product/goods/150566390
"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이","안익재, 황의태",앤써북,2025년 12월,19800,17820,84,"17,682",N/A,"요즘 교사들이 가장 많이 사용하는 5가지 에듀테크를 수업과 업무 완성에 어떻게 활용했고, 어떻게 활용할 수 있는지 50가지 주제별 실습과 100가지 실제 활용 사례와 활용 방법을 통해 배운다. 이 책은 요즘 교사들...",https://www.yes24.com/product/goods/169849422
피지컬 AI 메가 트렌드,"최홍섭, 원미르",위즈덤하우스,2026년 01월,23000,20700,21,"8,286",N/A,"*고동진 삼성전자 전 대표이사, 궤도 과학 커뮤니케이터, 문용식 전 NIPA 원장,이해민 국회의원, 최경진 한국인공지능법학회 회장 강력 추천*엔디비아와 테슬라, 오픈AI는왜 피지컬 AI를 미래 핵심 비즈니스로 삼았...",https://www.yes24.com/product/goods/176004735
요즘 바이브 코딩 클로드 코드 완벽 가이드,최지호,골든래빗,2025년 09월,24000,21600,18,"30,378",N/A,"★ 200달러 MAX 플랜으로 매일 10시간씩 실험하여 얻은 노하우를 모두 담았다!★ 어디에도 없는 클로드 코드 최강 팁과 노하우, 레시피를 빠르게 알고 싶다면?★ 이 책으로 천상계에서 개발하는 진짜 바이브 코더가 ...",https://www.yes24.com/product/goods/151850127
요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,20000,18000,65,"94,893",N/A,"2022 개정 교육과정에 맞춘 실전 에듀테크 활용서챗GPT, 구글 스프레드시트, 캔바, 퍼플렉시티, 클로드, LilysAI, Jungle AI, Sora, NotebookLM, Napkin AI 등 최신 AI 도구가 이 한권에! 생활기록부, 평가 계획 작...",https://www.yes24.com/product/goods/145426898
된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,20000,18000,97,"37,668",N/A,GPT 분야 3 년 연속 베스트셀러! 최신 버전 GPT-4.1 반영!초보자도 1 시간이면 바로 사용 가능! 업무부터 자기 계발까지 챗 GPT 에게 일 시키고 시간 버는 법!챗 GPT 입문 분야 베스트셀러인 『된다! 하루 만에 끝내...,https://www.yes24.com/product/goods/146955725
이게 되네? 나노바나나 AI 비포&애프터 미친 활용법 71제,쌩초,골든래빗,2025년 12월,18800,16920,82,"18,366",N/A,"★ ‘나노바나나 프로’ 미친 활용! 클릭 몇 번으로 이렇게 달라진다고!★ 나노바나나를 200% 활용하는 ‘쌩초’의 비포/애프터 레시피 대방출!★ 포토샵 없이, 스튜디오 촬영 없이 만드는 71가지 고퀄리티 사진★ ...",https://www.yes24.com/product/goods/167400825
제로클릭,손승완,길벗,2026년 01월,18800,16920,41,"9,990",N/A,"〈트렌드 코리아 2026〉이 선정한 올해의 키워드, 제로클릭!생성형 AI가 '검색의 패러다임’을 통째로 바꾸고 있는 시대내 브랜드와 콘텐츠가 AI에게 선택받으려면 어떻게 해야 할까?사람들은 여전히 검색하지만, 더...",https://www.yes24.com/product/goods/171566846
AI 에이전트 엔지니어링,마이클 알바다 /강민혁 역,한빛미디어,2026년 01월,32000,28800,3,"7,656",N/A,"AI 에이전트 시스템 구축을 다룬 최고의 입문서!이 한 권이면 수백 편의 논문을 읽지 않아도 좋다생성형 AI 시대, 기업은 이제 단순 자동화를 넘어 도구·지식·메모리를 결합한 AI 에이전트로 더 복잡한 문제를 해결...",https://www.yes24.com/product/goods/174018513
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,천은영,골든래빗,2026년 01월,26000,23400,4,"8,991",N/A,코딩 몰라도 OK! '딸깍' 한 번에 숏폼 콘텐츠 수집/제작/업로드 끝내는 미친 자동화 시스템 22제!AI가 쉴 틈 없이 돈 벌어준다! 1인 크리에이터를 위한 24시간 숏폼 수익 창출 가이드복붙 프롬프트 모음집 & 카카오...,https://www.yes24.com/product/goods/169665962
AI 버블이 온다,"아르빈드 나라야난, 사야시 카푸르 /강미경 역",윌북(willbook),2025년 12월,24800,22320,46,"12,012",N/A,“AI 버블에 면역이 있는 기업은 없다” ─순디르 피차이(구글 CEO)“우리는 지금 인공지능 버블 속에 있다” ─샘 올트먼(오픈AI CEO)★ “이 책을 읽지 않았다면 AI 주식에는 한 푼도 투자하지 말라!”★《타임》 ...,https://www.yes24.com/product/goods/167465671
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,이성원,한빛미디어,2025년 10월,19000,17100,39,"13,224",N/A,"이보다 쉬운 챗GPT & AI 책은 없다!왕초보를 위한, 세상에서 가장 쉬운 챗GPT & AI 입문서 누구나 아는, 그러나 나만 몰랐던 챗GPT와 AI, 이 책은 IT에 서툰 분도 단숨에 따라 할 수 있도록 진짜 쉽고 친절하게 설명...",https://www.yes24.com/product/goods/154232193
MK에디션 CES 2026,매일경제 CES 특별취재팀,매일경제신문사,2026년 01월,20000,18000,0,"7,062",N/A,"“이제 AI 기술은 가능성을 말하지 않는다. 당장 쓸 수 있음을 증명한다.”매일경제 취재팀과 미라클레터가 함께 전하는 CES 2026 현장 리포트AI?로보틱스?모빌리티?디지털 헬스, 혁신미래기술의 인사이트를 밝히다...",https://www.yes24.com/product/goods/174267330
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,Dave Lee,길벗,2026년 02월,32000,28800,4,"3,747",N/A,"AI와 함께 일하는 법을 배우다클로드 코드·코덱스 CLI·제미나이 CLI를 실무에서 활용하는 방법AI 코딩 도구를 처음 접하는 사람에게 가장 어려운 점은 '무엇부터 시작해야 하는지', 그리고 '어디까지 활용할 수 있는...",https://www.yes24.com/product/goods/175525819
요즘 당근 AI 개발,당근 팀,골든래빗,2025년 10월,22000,19800,86,"18,201",N/A,"★ ‘당근’의 진짜 AI 활용과 개발 이야기★ 사용자 문제를 AI로 해결하는 당근 팀의 여정을 만나 보세요.‘AI로 과연 될까?’라는 질문은 ‘AI로 어떻게 하면 될까?’라는 고민으로 이어졌습니다. 엔지니어, 프로...",https://www.yes24.com/product/goods/154566057
대체불가 AI 영상 제작 완전정복,이용태,책바세,2025년 12월,29000,26100,12,"9,339",N/A,"〈한 권으로 끝내는 생성형 AI 영상 제작의 모든 것〉〈AI 하나로 광고·영화·애니메이션·교육 영상부터 유튜브·틱톡 숏츠까지 제작하는 시대!〉""실무형 예제 중심으로 배우는 ""진짜"" AI 영상 제작""챗GPT/소라/피카/...",https://www.yes24.com/product/goods/165239801
AI가 쉬워지는 최소한의 수학,이동준,지상의책(갈매나무),2026년 02월,20000,18000,3,"3,252",N/A,"‘AI 시대가 온다는데, 어디서부터 시작해야 할지 모르겠어요.’‘인공지능이 어떤 방식으로 작동하는지 궁금해요.’‘딥러닝을 공부하기 전에 수학으로 기초를 다지고 싶어요.’ AI 대전환 시대,수학을 아는 자가 ...",https://www.yes24.com/product/goods/176526389
AI 프로젝트 100% 성공을 위한 체크리스트 17,유진호,책만,2026년 01월,28000,25200,5,"5,706",N/A,"성공률 100%의 AI 프로젝트를 위한, 현장에서 즉시 꺼내 쓰는 실전 로드맵! 화려한 AI 기술 스택 뒤에는 비즈니스 가치 입증 실패, 운영 비용의 늪, 경험의 부재라는 수많은 함정이 도사리고 있다. 이 책은 AI 프로...",https://www.yes24.com/product/goods/175133788
AI 엔지니어링,칩 후옌 /변성윤 역,한빛미디어,2025년 09월,40000,36000,15,"13,980",N/A,"최고의 AI 전문가 칩 후옌이 엔비디아, 스노클 AI, 스탠퍼드에서 쌓은 현장 경험과 노하우!모델 활용을 넘어서, 실전으로 통하는 AI 서비스 설계 가이드“프로덕트 레벨에 맞는 설계란 무엇일까요?”파운데이션 모델...",https://www.yes24.com/product/goods/154925812
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진",시프트,2025년 09월,20000,18000,29,"16,074",N/A,"AI로 시작하는 음악, 쉽고 재미있게 나만의 음악을 만들며, 음악의 매력에 빠져 보자!'AI에서 클릭 몇 번이면 음악이 뚝딱 완성되는데, 과연 책을 볼 필요가 있을까?' 직접 AI를 사용하여 음악을 만들어 보면 가졌던...",https://www.yes24.com/product/goods/152644865
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2025년 04월,32000,28800,142,"20,226",N/A,"머신러닝 분야 부동의 베스트셀러! 트랜스포머와 LLM 실습까지 더 많이 채웠다!케라스는 물론 파이토치까지, 혼자서도 1:1 과외하듯 배우는 인공지능 자습서 ** 혼공 용어 노트, 저자 직강 유튜브 강의, FAQ(자주 하...",https://www.yes24.com/product/goods/143912145
Do it! LLM을 활용한 AI 에이전트 개발 입문,이성용,이지스퍼블리싱,2025년 05월,35000,31500,21,"19,311",N/A,"GPT API를 활용한 업무 자동화부터 랭체인과 랭그래프를 활용한 멀티에이전트 개발까지!한 권으로 끝내는 AI 에이전트 개발 입문! AI가 모두의 일상을 바꾸고 있는 지금, AI 기술을 제대로 이해하고 활용하는 방법을...",https://www.yes24.com/product/goods/146036009
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,박현규,골든래빗,2025년 09월,24000,21600,84,"16,230",N/A,"★ 월 20달러로 커서 AI를 300% 활용해보자, 당신의 아이디어를 바로 애플리케이션으로 만들어보자!★ 랜딩 페이지부터 블로그 만들기까지, 코딩 1도 몰라도 바로 시작할 수 있다!★ 커서 AI와 대화하면서 프로그래...",https://www.yes24.com/product/goods/153029475
된다! 하루 만에 준비하는 AI 학교 수업 활용법,"정인걸, 김경수",이지스퍼블리싱,2025년 03월,19800,17820,39,"22,638",N/A,"2022 개정 교육과정 반영! AI 디지털 교과서 시대의 해법!교육감, 한국과학창의재단 강사 추천!상위 1% 에듀테크 교사의 수업 비법을 공개합니다!AI 디지털 교과서 도입을 두고 찬반이 이어지는 가운데 교사와 아이...",https://www.yes24.com/product/goods/142814138
된다! 피그마 디자인 10분 레시피,"하이서, 김대일, 김시원, 최유빈",이지스퍼블리싱,2026년 02월,28000,25200,1,"2,136",N/A,"누적 조회수 500만 뷰!업계 1티어 ‘피그마 피디아’ 팀의 10분 해결 실무 레시피SNS 콘텐츠는 물론 UX/UI, 웹 디자인, AI 활용까지 한 번에 해결하세요!“피그마가 좋다고 듣긴 했는데, 시작하려 하니 막막해요.”...",https://www.yes24.com/product/goods/176919464
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,이호정,리코멘드,2025년 11월,28000,25200,4,"8,808",N/A,"★ AI 시대, 하나로는 부족합니다!★ 진짜 일 잘하는 AI를 찾아 퇴근이 빨라지는 핵심 노하우를 97개의 활용 사례에 담았습니다!2022년 11월! 무엇이든지 묻기만 하면 원하는 대답을 척척 해 내는 챗지피티를 처음 ...",https://www.yes24.com/product/goods/162322988
AI 팀원이 다 해줌,이나현,한빛미디어,2025년 12월,23000,20700,136,"6,900",N/A,"기획은 챗GPT, 전략은 퍼플렉시티, 운영은 코파일럿, 디자인은 캔바·감마·브루에게, 지금 당장 각 전문 분야의 에이스를 영입하세요!3일 걸릴 업무, AI 팀원과 함께라면 단 3시간 만에 끝납니다* 저자 즉답 오픈카톡...",https://www.yes24.com/product/goods/167452561
요즘 유치원 교사를 위한 에듀테크 활용법 : 캔바/패들렛/네이버/구글/태블릿 활용법,"전서아, 김혜지, 김은자, 배수나, 전진형  외 1명
                                        
정보 더 보기/감추기



전서아
김혜지
김은자
배수나
전진형
김진영",앤써북,2025년 11월,16800,15120,39,"6,495",N/A,"이 책은 국내 최초로 현직 유치원 교사 6인이 ‘요즘 유치원 교사’를 위해 교육 현장에 바로 활용할 수 있는 에듀테크별 100가지 수업 활용 실습과 사례를 담아 만든 실용적인 에듀테크 활용 가이드북이다. 캔바, ...",https://www.yes24.com/product/goods/165539763
AI 에이전트 생태계,조쉬,로드북,2025년 08월,27000,24300,15,"17,949",N/A,"AI는 이제 LLM을 넘어, ‘에이전트의 시대’로 진입하고 있다. 『AI 에이전트 생태계』는 단순한 개발자용 튜토리얼이나 최신 트렌드 모음이 아니다. LangGraph, MCP, A2A 같은 기술 조각들을 나열하는 데 그치지 않...",https://www.yes24.com/product/goods/149414736
수노로 시작하는 AI 작곡,"강성우, 한나래",제이펍,2025년 12월,20000,18000,18,"4,548",N/A,"아이디어만으로 완성하는 나만의 음악 이 책은 아이디어만으로 부담 없이 작사·작곡을 시작할 수 있도록 구성했다. 화성학을 몰라도, 악기를 다루지 못해도 괜찮다. 챗GPT로 음악의 스타일과 분위기, 가사까지 구체...",https://www.yes24.com/product/goods/168840773
인공지능이 다 해주는 브루 Vrew 영상 편집,지현이 /브루 개발팀 감수,시프트,2024년 10월,20000,18000,19,"11,250",N/A,주제만 입력하면 대본 작성부터 영상 생성까지 한 방에 해결해 주는 브루 영상 편집!ChatGPT로 많은 사용자에게 알려진 생성형 인공지능은 이제 어느 분야든 적용되지 않는 곳이 없을 정도로 대중화되었다. 영상 편...,https://www.yes24.com/product/goods/133823740
"우리, 프로그래머들 We, Programmers",로버트 C. 마틴 /최희철 역,길벗,2026년 01월,31000,27900,9,"2,976",N/A,"소프트웨어 개발 업계의 선도적 인물인로버트 C. 마틴이 이야기하는 ‘우리, 프로그래머들’의 이야기 생성형 AI가 코드를 만들어 내는 시대, 그럴수록 우리는 자연스럽게 다시 질문하게 된다. 우리는 누구이며, 왜 ...",https://www.yes24.com/product/goods/175232277
AI 리터러시 : 인공지능 필수 지식부터 완벽 활용까지,김용성,프리렉,2024년 12월,25000,22500,184,"26,247",N/A,"AI 시대에 필수로 알아야 할 인공지능의 원리와 개념부터학생·직장인·공무원·교육자·연구자·자영업자, 누구에게나 당장 유용한 생성형 AI 서비스 59종까지!아직 AI의 잠재력을 다 누리고 있지 못한 당신을 넥스트 레...",https://www.yes24.com/product/goods/139705941
바로 배워서 바로 써먹는 바이브 코딩,"박찬, 김병석, 전수연, 김지용, 구현희  외 3명
                                        
정보 더 보기/감추기



박찬
김병석
전수연
김지용
구현희
전채원
홍찬우
이상선",다빈치books,2025년 09월,22000,19800,43,"18,360",N/A,누구나 아이디어만 있다면 누구나 멋진 웹 앱을 만들 수 있다!바이브 코딩(Vibe Coding)은 코딩을 전혀 모르는 사람도 생성형 AI에 프롬프트(명령어)를 입력하여 코드를 작성하고 서비스 샘플을 만들어주는 도구이다...,https://www.yes24.com/product/goods/152079426
요즘 바이브 코딩 제미나이 CLI 완벽 가이드,김진환,골든래빗,2025년 12월,26000,23400,79,"5,313",N/A,★ 최강의 바이브 코딩 모델을 0원으로 시작하는 가장 완벽한 바이브 코딩 입문!★ 어디에도 없는 최강 팁과 노하우로정복하는 AI 업무 혁신 A to Z!★ 당장 회사에서 써먹는 실전 프로젝트로 확실하게 배우자!《제...,https://www.yes24.com/product/goods/167384326
밑바닥부터 시작하는 딥러닝 1,사이토 고키 /개앞맵시 역,한빛미디어,2025년 01월,26000,23400,137,"12,561",N/A,딥러닝 분야 부동의 베스트셀러!머리로 이해하고 손으로 익히는 가장 쉬운 딥러닝 입문서이 책은 딥러닝의 핵심 개념을 ‘밑바닥부터’ 구현해보며 기초를 한 걸음씩 탄탄하게 다질 수 있도록 도와주는 친절한 안내...,https://www.yes24.com/product/goods/141787639
AI 내부자들,"안건, 황민영, 김영현, 이활석, 박지혁  외 13명
                                        
정보 더 보기/감추기



안건
황민영
김영현
이활석
박지혁
홍창기
설형욱
문현지
한승주
이성민
문인태
이동현
노지혜
김수현
이민아
장요엘
유윤아
오창환",스마트북스,2025년 09월,22000,19800,6,"5,532",N/A,"AI 혁신은 어떻게 일어나는가?MIT · 스탠퍼드 · 하버드 · 조지아텍 · 시카고대 · UC버클리,구글 딥마인드 · 엔비디아 · 업스테이지 · 와들 · H2K까지글로벌 탑티어들의 AI 미래 보고서『AI 내부자들』은 MIT · 스탠...",https://www.yes24.com/product/goods/153603522
AI 에이전트 마스터 클래스,김구현,한빛미디어,2026년 01월,26000,23400,3,"1,695",N/A,"랭체인의 기본기부터 최신 MCP 기술까지,‘살아 있는 AI’를 설계하는 가장 완벽한 로드맵단순한 챗봇을 넘어 스스로 판단하고 행동하는 ‘AI 에이전트’가 IT 업계의 새로운 표준으로 자리 잡고 있습니다. 이 책은 ...",https://www.yes24.com/product/goods/175902524
밑바닥부터 만들면서 배우는 LLM,세바스찬 라시카 /박해선 역,길벗,2025년 09월,40000,36000,22,"11,184",N/A,"한 줄 한 줄 코드를 따라가다 보면, 나만의 GPT가 완성된다!GPT를 밑바닥부터 구현하며 LLM의 원리를 손끝으로 체득하는 실전 가이드어려운 개념은 그림으로 풀고, LLM은 직접 만들면서 배운다. 이 책은 대규모 언어...",https://www.yes24.com/product/goods/154099735
입상 교사만 아는 아무도 말해주지 않은 수업혁신사례연구대회 1등급의 비밀,"임은빈, 송경은, 김은진, 신혜원, 김진희  외 2명
                                        
정보 더 보기/감추기



임은빈
송경은
김은진
신혜원
김진희
임민지
노기현",앤써북,2025년 06월,24000,21600,24,"6,849",N/A,수업혁신사례연구대회 전국대회 1등급 우수 입상자 7인이 알려주는 보고서 작성의 A to Z티처빌 쌤동네 1위 강사의 입상 전략 전격 공개 교사를 위한 수업혁신사례연구대회 실전형 보고서 작성 매뉴얼 총망라 입상 ...,https://www.yes24.com/product/goods/147065285
"바이브 코딩 너머 개발자 생존법: 개발자는 사라지지 않는다, 진화한다",애디 오스마니 /강민혁 역,한빛미디어,2025년 11월,23000,20700,25,"5,286",N/A,"AI가 코드를 다 짜준다? 이제 '진짜 개발자'만 살아남는다AI 시대 개발자의 생존법으로 당신의 가치를 증명하라『바이브 코딩 너머 개발자 생존법』은 AI가 코드를 대신 작성하는 시대, 개발자가 무엇으로 경쟁력을 ...",https://www.yes24.com/product/goods/163601068
베테랑 AI 전문가가 만든 가장 쉬운 나노바나나 활용! NanoBanana(나노바나나)로 무엇이든 만들 수 있다 (AI 영상 제작),"이현, 문서영, 최숙현, 남상억",광문각출판미디어,2026년 01월,19000,19000,44,"3,198",N/A,"AI 시대의 새로운 창작자를 위하여 당신이 이 책을 펼친 순간, 이미 새로운 시대의 문을 열었습니다. 불과 몇 년 전만 해도 멋진 이미지를 만들려면 포토샵 자격증이 필요했고, 수개월간의 강좌를 수강해야 했으며, ...",https://www.yes24.com/product/goods/173235066
"어쨌든, 바이브 코딩",코다프레스 /양희은 역,인사이트(insight),2025년 12월,22000,19800,44,"3,576",N/A,프롬프트 한 줄이면 충분하다기술이 없는 게 아니라 방식이 바뀐 거다아이디어로 바로 만드는 창작 경험 50개생각났다면 바로 만들어라아이디어는 이제 '시작 신호'다.코드를 몰라도 한 줄의 프롬프트가 바로 결과물...,https://www.yes24.com/product/goods/168561327
AI 잘 쓰는 디자이너,전하린,이지스퍼블리싱,2025년 12월,21000,18900,10,"3,177",N/A,"“AI 시대, 디자이너는 어떻게 일해야 할까?”콘텐츠, UX/UI, 그래픽, 패키지, 로고, 영상 디자이너가 AI로 일하는 법나노 바나나부터 미드저니, 피그마, 캡컷, 수노, 런웨이까지!“요즘 다 AI로 디자인한다던데…”...",https://www.yes24.com/product/goods/168263935
입상 교사만 아는 아무도 말해주지 않은 인성교육 연구대회 1등급의 비밀,"송경은, 김승리, 이한빈",앤써북,2026년 01월,19800,17820,6,"2,919",N/A,"인성교육실천사례 х 교총 현장교육연구대회 두 대회를 완벽 대비하는 입상 보고서 작성법!왜 어떤 보고서는 1등급이 되고, 어떤 보고서는 탈락하는가? 인성교육실천사례연구발표대회와 교총 현장교육연구대회. 매년...",https://www.yes24.com/product/goods/174327620
인공지능이 답할 때 교육은 무엇을 묻는가,함영기,에듀니티교육연구소(에듀니티),2026년 01월,20000,18000,6,"3,975",N/A,"인공지능이 답할 때 교육은 무엇을 묻는가?AI 시대를 항해하는 교육자를 위한 인문학적 나침반.“‘AI를 잘 활용해야 살아남을 수 있다’라는 말이 지상 최대의 명령처럼 여겨지는 오늘, 나는 다른 질문을 던지고 싶...",https://www.yes24.com/product/goods/173183477
한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,"조훈, 정찬훈",길벗,2025년 09월,26000,23400,19,"9,036",N/A,"현장에서 바로 적용할 수 있는 클로드 코드 실전 가이드!실무에서 검증된 개발 방식 그대로, 매일 1시간 4주 학습으로 클로드 코드 완전 정복!AI와 함께 개발하는 시대, 이제 클로드 코드는 더 이상 선택이 아닌 필...",https://www.yes24.com/product/goods/152379887
LLM을 위한 프롬프트 엔지니어링,"존 베리먼, 앨버트 지글러 /김정인 역",제이펍,2026년 01월,28000,25200,5,"2,706",N/A,"LLM을 지배하는 건 코드가 아니라 프롬프트다 결과물 중심의 접근과 달리 프롬프트 엔지니어링 자체를 깊이 있게 탐구한 실전 가이드다. LLM의 구조와 작동 원리, 효과적인 프롬프트 설계 기법, 대화형 워크플로 구...",https://www.yes24.com/product/goods/170504549
AI 게임 개발 with 코덱스,정윤지(유리링),한빛미디어,2026년 02월,32000,28800,3,840,N/A,"코딩 몰라도 OK, 혼자서 '뱀서'급 게임 완성? AI와 함께라면 가능!혼자서도 프로처럼 AI 팀원과 캐릭터 제작부터 음원, 코딩, 배포, 수익화까지베테랑 게임 기획자 ‘유리링’이 알려 주는 혼자서도 팀처럼 AI를 다...",https://www.yes24.com/product/goods/177187498
교사를 위한 패들렛 Padlet,안익재,앤써북,2025년 03월,16800,15120,47,"17,106",N/A,『교사를 위한 패들렛 Padlet』은 유치원·어린이집 및 초·중·고 교사가 수업에 즉시 활용할 수 있는 패들렛 수업 활용 방법을 소개하는 실전 활용서이다. 패들렛 기본 기능부터 교사가 알아두면 유용한 심화 기능까...,https://www.yes24.com/product/goods/143786416
"2026 빠르게 따는 SQLD(1권(이론)+2권(빈출 족보+기출&모의고사) 분권, 웹 CBT(PC/모바일) 제공, 시험 직전 Live 빠따 특강)","이유성, 임한울, 조영훈",골든래빗,2026년 01월,24000,21600,15,"1,452",N/A,"* 비전공자도, 노베이스도 빠르게 따자!* 책 + 특강 + CBT + 카페 + 단톡까지* 확실한 합격으로 안내하는 SQLD 합격 토탈 전략 패키지SQL 개발자(SQLD) 자격증 취득을 고민하고 계신가요? 『2026 빠르게 따는 SQLD』...",https://www.yes24.com/product/goods/174682218
AI 디자인 활용백과,채시은,스마트북스,2026년 01월,25000,22500,1,"1,395",N/A,내가 원하는 이미지를 뽑기 위한미드저니&챗GPT&나노바나나 디자인 워크북!회사원 PPT 이미지부터 패션 디자인까지 아이디어만 있으면 OK!다양한 기업들이 러브콜 보낸 AI 강의가 책으로 나왔다. 『AI 디자인 활용백...,https://www.yes24.com/product/goods/175122641
요즘 바이브 코딩 코덱스 완벽 가이드,윤재원,골든래빗,2026년 02월,28000,25200,17,"1,245",N/A,"* 진짜 개발자는 코덱스를 어떻게 사용할까? 진짜 개발자의 노하우를 배워보자!* 이론부터 구현까지 빠르고 탄탄하게, 코덱스로 완성하는 실전 바이브 코딩! * 초보자가 놓치기 쉬운 프롬프트 엔지니어링의 기초부터...",https://www.yes24.com/product/goods/175110068
MCP 실전 활용 & 서버 개발 핵심 가이드,AI튜터랩,위키북스,2025년 11월,28000,25200,1,"3,012",N/A,"《MCP 실전 활용 & 서버 개발 핵심 가이드》는 단순한 AI 활용법을 넘어 MCP의 핵심 원리를 이해하고, 이를 통해 나만의 MCP 서비스와 서버를 직접 구축하는 실질적인 경험을 제공합니다. 기초 사용법부터 심화 활용...",https://www.yes24.com/product/goods/162224477
챗GPT 구구단,유경식(피치타이탄),여의도책방,2026년 01월,26000,23400,10,"2,514",N/A,"검색이 아닌 ‘대화’로, 기술이 아닌 ‘습관’으로 익히는 AI 파트너십대한민국의 챗GPT 열풍이 거세다. 앱 분석 플랫폼 센서타워에 따르면 챗GPT는 2025년 한국 앱 시장 전체에서 다운로드 1위, 매출 4위를 기록했...",https://www.yes24.com/product/goods/174080422
생성형 AI 활용 업무혁신,"최재용, 강병규, 강호종, 김유성, 신진주  외 5명
                                        
정보 더 보기/감추기



최재용
강병규
강호종
김유성
신진주
유미경
윤지영
이도혜
차승희
김진선",미디어북,2026년 01월,20000,20000,14,"1,542",N/A,"「생성형 AI 활용 업무혁신」 이 책은 퇴근 시간을 앞당기는 AI 비서의 실제 활용법, 실무자가 바로 써먹을 수 있는 업무 레시피, 반복 업무를 자동화하는 구글 기반 AI 워크플로우, 감마·챗GPT·마누스AI·노트북LM ...",https://www.yes24.com/product/goods/176025748
대체불가 나노 바나나 완전정복,이용태,책바세,2026년 02월,27000,24300,2,"1,026",N/A,"〈""한 권으로 끝내는 ""나노 바나나"" 이미지·디자인 제작의 모든 것"" 〉〈30년 경력, 최고의 AI 전문가가 쓴, 모든 직업군에서 바로 써먹는 실무형 이미지(사진/그림/놀이/의학/미용/패션/건축/타이포/자동차/PPT/제...",https://www.yes24.com/product/goods/176990624
핸즈온 LLM,"제이 알아마르, 마르턴 흐루턴도르스트 /박해선 역",한빛미디어,2025년 06월,38000,34200,21,"6,954",N/A,"LLM, 눈으로 익히고 손으로 구현하라. 트랜스포머 구조부터 시맨틱 검색, 미세 튜닝, 프롬프트 엔지니어링까지 그림과 실전 코드로 만들면서 배우는 대규모 언어 모델의 모든 것『핸즈온 LLM』은 LLM을 쓰는 것을 넘...",https://www.yes24.com/product/goods/146828240
혼자 AI로 끝까지 완성하는 풀스택 온라인 게임 개발,정금호,로드북,2026년 01월,30000,27000,0,"1,254",N/A,"『 혼자 AI로 끝까지 완성하는 풀스택 온라인 게임 개발』은 AI와 협업해 기획부터 개발, 실시간 연동, 배포, 출시까지 혼자서도 완주하는 풀스택 온라인 게임 개발 로드맵이다. 독자가 따라할 수 있도록 단계별로, ...",https://www.yes24.com/product/goods/174304314
