제목,저자,출판사,발행일,정가,판매가,리뷰수,판매지수,상세정보,설명,상세페이지URL
10분 만에 따라 하는 Claude MCP 업무 자동화 혁신 가이드,이호준,리코멘드,2025년 07월,18800,16920,2,"1,884",N/A,"★ ChatGPT를 쓰다가 답답했다면, AI한테 물어보기만 했다면, 이제 직접 일하는 AI를 만나 보세요.★ 클로드로 만드는 나만의 AI 비서, Claude MCP지금까지 AI를 ‘대답봇’으로만 사용했다면 당신은 곧 남들보다 한...",https://www.yes24.com/product/goods/148173979
MLOps 구축 가이드북,김남기,루비페이퍼,2024년 07월,36000,32400,3,720,N/A,MLOps의 기본 시스템 구성부터실제 운영 서비스에 적용하는 워크플로우까지모든 과정을 한 권에 담았다!MLOps의 기본적인 작동 원리를 이해하고 머신러닝 모델을 실제 서비스에 적용하기 위한 실습을 단계별로 구성...,https://www.yes24.com/product/goods/129776595
챗GPT 질문의 기술,이선종,영진닷컴,2024년 11월,22000,19800,6,"1,944",N/A,"AI 리터러시가 필요한 시대에서 가장 중요한 것은 ‘질문하는 힘’인공지능으로 인한 정보 격차 심화, 고용 및 경제 구조 변화 등 사회 전반의 전환이 예상되는 가운데, 다가오는 시대를 대비하려면 인공지능의 기능...",https://www.yes24.com/product/goods/136446856
PHYSICAL AI: 인공지능에 몸을 더하다,"손병희, 주해종, 최창훈",지오북스,2025년 11월,24000,24000,0,414,N/A,"""Physical AI - AI 혁명의 최전선: 우리의 미래를 바꾸는 지능의 힘""AI가 어떻게 현재를 혁신하고 미래를 바꾸어갈지에 대한 깊이 있는 분석을 담은 책.인공지능(AI)과 로봇 기술의 발전은 오늘날 인간의 삶과 산업...",https://www.yes24.com/product/goods/160892314
생성형 AI로 수업 레벨 업,"최태준, 문담, 최선경, 송세훈, 장세라  외 1명
                                        
정보 더 보기/감추기



최태준
문담
최선경
송세훈
장세라
김승주",학교도서관저널,2024년 06월,18000,16200,7,510,N/A,"수업지도안부터 평가표까지, 9가지 수업 디자인으로 보는 교과별 생성형 AI 수업 활용법. 생성형 AI가 교실에 들어오면서 교육 현장은 급격히 변하고 있다. 대표적으로 챗GPT는 제한된 수업 시간과 정형화된 활동 자...",https://www.yes24.com/product/goods/127067672
"챗GPT, 글쓰기 코치가 되어 줘",이석현,제이펍,2025년 04월,22000,19800,58,"2,538",N/A,"나만을 위한 글쓰기 코치, 챗GPT와 함께하는 36가지 글쓰기 훈련 프롬프트36가지 글쓰기 훈련 프롬프트로 챗GPT를 나만의 글쓰기 코치로 활용할 수 있는 노하우를 경험해 보자. 어휘력 훈련 프롬프트로 단어를 확장...",https://www.yes24.com/product/goods/144539067
아이디어를 수익으로 전환하는 AI 사업계획서 프롬프트 공식,염현덕,책다락,2026년 01월,32000,28800,19,414,N/A,"왜 당신의 사업계획서는 늘 평가의 문턱에서 멈출까?평가자는 수많은 계획서 속에서 단 세 가지를 본다.수익성, 실현 가능성, 그리고 사람.이 책은 AI로 사업계획서를 빠르게 만들어주는 방법을 다루지 않는다. 평가...",https://www.yes24.com/product/goods/173722052
AI로 뚝딱 자서전 쓰기 도전,"가재산, 김영희, 김연욱",글로벌콘텐츠,2026년 01월,19800,17820,10,294,N/A,이 책 한 권이면 자서전 쉽게 완성할 수 있습니다AI와 함께 뚝딱 만드는 『AI로 뚝딱 자서전 쓰기 도전』 도서 출간자서전을 쓰고 싶다는 말은 흔하다. 하지만 실제로 자서전을 완성한 시니어는 많지 않다. 대부분은...,https://www.yes24.com/product/goods/174163578
AI와 인문학의 주제들,"정서현, 우동현, 김동우",커뮤니케이션북스,2025년 02월,12000,12000,0,264,N/A,"AI 기술이 인간의 기본적인 특징과 어떻게 연결되는지 탐구한다. 사고, 기록, 편향, 가치관 등 다양한 측면에서 AI의 영향을 비판적으로 분석하며 AI 시대에 인간이 추구해야 할 가치와 윤리적 문제도 다룬다. AI 기...",https://www.yes24.com/product/goods/141888791
제미나이 Gemini CLI 완벽 가이드,최지훈,콩콩 컴퍼니,2025년 11월,18900,18900,0,282,N/A,"개발자의 터미널 속에 AI를 불러오는 시대가 열렸다.
Google Gemini CLI는 이제 단순한 명령어 도구가 아니라, 당신의 AI 개발 파트너다.
이 책은 Gemini CLI를 처음 설치하는 순간부터, 커스텀 AI 도구를 직접 만드...",https://www.yes24.com/product/goods/167495811
열정민쌤의 챗GPT&AI 수업 실전서,"원정민, 권혜영, 신명진, 이채연",한빛미디어,2025년 05월,20000,18000,40,"6,756",N/A,"오늘 배워서 내일 바로 쓸 수 있는, 교사를 위한 진짜 쉬운 AI 수업 실전서!『열정민쌤의 챗GPT & AI 수업 실전서』는 AI를 수업에 접목해온 현직 교사들이 집필한 실용적인 가이드북이다. 단순한 도구 소개를 넘어,...",https://www.yes24.com/product/goods/146143006
인공지능의 어두운 그림자,김창익,홍릉,2024년 07월,21000,21000,0,216,N/A,"최근 AI가 사회의 대부분의 영역에서 놀라운 신기술로 등장하고 있으며, 모든 강력한 기술과 마찬가지로 사회의 지속 발전을 위하여 AI의 잠재력을 신중하게 고민하고 활용해야 하는 시점이다. 그러나 AI가 가져다줄...",https://www.yes24.com/product/goods/130027790
AI 정밀 의료와 맞춤형 치료,고범석,커뮤니케이션북스,2025년 07월,12000,12000,0,210,N/A,"AI는 유전체 분석, 질병 예측, 맞춤형 치료를 통해 의료의 정밀성과 효율성을 높이고 있다. 기술의 실제 적용 사례부터 윤리, 보안, 제도적 과제까지 폭넓게 조망하며, 의료의 미래를 새롭게 그려낸다. 인공지능총서...",https://www.yes24.com/product/goods/149417391
학교에서 바라본 사고하는 AI 리터러시 교육,신하은,커뮤니케이션북스,2026년 01월,12000,12000,0,168,N/A,"이 책은 AI 활용 기술이 아니라 사고력을 키우는 교육을 말한다. AI를 이해하고, 비판하며, 목적에 맞게 활용하고, 윤리적 책임을 자각하는 AI 리터러시를 학교 교육의 핵심 역량으로 제시한다. AI 시대 시민을 기르...",https://www.yes24.com/product/goods/173650023
만들면서 배우는 생성형 AI 첫걸음,"천인국, 천명준",생능출판사,2025년 12월,29000,29000,0,204,N/A,"인공지능(AI)은 이제 우리의 일상 속에서 없어서는 안 될 기술로 자리 잡았습니다. ChatGPT의 등장 이후 AI는 전 세계의 화두가 되었으며, 사람들은 궁금한 것이 있으면 AI에게 묻고, 창작자들은 AI를 활용해 이미지...",https://www.yes24.com/product/goods/167453297
AI에게 나를 묻다,"김가원, 정민주",처음북스(CheomBooks),2026년 02월,18000,16200,19,246,N/A,"inspire X 뉴스레터의 주제를 이제 책으로 만난다.정민주, 김가원 박사가 던지는 AI와 인간 관계에 대한 화두‘기술의 시대에 인간의 의의는 무엇인가.’인공지능이 나의 취향과 선택까지 대신해 주는 시대에사라져...",https://www.yes24.com/product/goods/174187902
초보자를 위한 ChatGPT 활용법,"정하영, 이도현",지식과감성#,2024년 11월,20000,18000,8,"1,170",N/A,"“오늘날 우리는 디지털 혁신의 한가운데에 서 있습니다. 인공지능(AI)은 더 이상 미래의 기술이 아닌, 우리의 일상과 업무를 혁신하고 있는 현재의 기술입니다. 그중에서도 OpenAI에서 출시한 ChatGPT는 생성형 AI ...",https://www.yes24.com/product/goods/139612101
아는 만큼 보이는 생성형 AI,김주영,길벗,2025년 07월,22000,19800,27,"1,272",N/A,"AI가 일의 판도를 바꾸고 있다!챗GPT, 제미나이, 클로드, 클로바X, 달리, 미드저니, 스테이블 디퓨전, 수노, 유디오까지지금 당장 필요한 생성형 AI 기초 지식과 사용법생성형 AI를 사용하는 것은 그냥 걷던 사람이 ...",https://www.yes24.com/product/goods/149680614
"AI, 너 내 마케터가 돼라!",오종현,e비즈북스,2025년 01월,18000,16200,0,"1,170",N/A,"AI로 콘텐츠 만들기, 왜 나는 안 되는 거야?깜깜했던 눈이 떠지는 생성형 AI 프롬프트 가이드AI는 이제 박사급 전문가 수준의 평가를 받을 만큼 뛰어난 도구이다. 하지만 올바른 사용 방법을 모른다면 그 능력의 극...",https://www.yes24.com/product/goods/141129325
생성형 인공지능과 함께하는 사회정서학습,"박찬, 김병석, 전은경, 전수연, 강윤진  외 1명
                                        
정보 더 보기/감추기



박찬
김병석
전은경
전수연
강윤진
김지용",다빈치books,2024년 03월,22000,19800,2,"2,520",N/A,사회정서학습을 위한 프로그램을 개발하고 실제 학교 현장에 적용한 경험을 가진 ‘사회정서학습 현장지원단’ 선생님들의 수업 사례를 소개합니다. 인공지능을 활용하여 학생들의 마음 건강을 위해 노력한 모두가 ...,https://www.yes24.com/product/goods/125137664
딥러닝 파이토치 교과서,서지영,길벗,2022년 03월,36000,32400,23,"1,134",N/A,"기본기에 충실한 딥러닝 파이토치 입문서!기초부터 CNN, RNN, 시계열 분석, 자연어 처리, 강화 학습, 생성 모델까지 파이토치로 구현하며 배운다!머신 러닝 핵심 알고리즘부터 파이토치 기초, 합성곱 신경망, 설명 ...",https://www.yes24.com/product/goods/107664335
랭체인으로 LLM 기반의 AI 서비스 개발하기,서지영,길벗,2024년 02월,24000,21600,30,"1,116",N/A,"내 질문에 대답하고, PDF를 요약해주고, 번역도 하고, 메일도 써주는 똑똑한 AI 서비스 만들기!개념, 원리, 실습을 한 권으로 빠르게! RAG를 구현하며 배우는 LLM 입문! LLM의 기본 개념부터 동작 원리까지, LLM을 ...",https://www.yes24.com/product/goods/125134177
랭체인 & 랭그래프로 AI 에이전트 개발하기,서지영,길벗,2025년 03월,29000,26100,23,"3,570",N/A,"LLM만으로 항공권 예약 같은 작업이 가능할까? AI 에이전트라면 가능하다!랭체인, 랭그래프, 랭스미스, 오토젠, AutoGPT, 크루AI, 라마인덱스로 똑똑한 AI 서비스를 만들어 보자!LLM의 최신 트렌드와 AI 생태계의 변...",https://www.yes24.com/product/goods/143646468
오늘부터 회사에서 AI 합니다,"이활석, 업스테이지 AI 교육 부문",디지털북스,2025년 07월,22000,19800,11,966,N/A,"“오늘부터 회사에서 AI를 도입한다면 무엇부터 어떻게 해야 할까?”AI의 개념부터, AI 서비스 기획 및 제작의 모든 것.어느 날 대표님이 “자, 여러분 요즘 AI가 대세라고 하니 우리도 트렌드 좀 따라가 봅시다. 회...",https://www.yes24.com/product/goods/149432094
챗GPT + 엑셀 업무자동화 정석,권현욱,디지털북스,2023년 04월,15000,13500,14,"1,170",N/A,"구글링 시대에는 검색 결과로 나온 정보들 중에서 적합한 내용을 얼마나 잘 선별하고 콘텐츠로 가공하느냐가 중요했다면, 앞으로 다가올 인공지능 시대에는 문제를 정리하고 '질문을 잘 하는 능력'이 중요해지는 시...",https://www.yes24.com/product/goods/118219358
Do it! 딥러닝 입문,박해선,이지스퍼블리싱,2019년 09월,19800,17820,55,786,N/A,정직하게 코딩하며딥러닝을 빠르게 정면 돌파하자!이 책은 어설픈 지름길을 담지 않았다. 공부는 했는데 남는 게 없으면 안 되니까! 실무에서 제대로 알고 써야 하니까! 국내 6명뿐인 구글 인증 머신러닝 전문가(ML ...,https://www.yes24.com/product/goods/78896574
"스포츠, AI와 동행하다","크리스 브래디, 카를 튈스, 샤예간 오미드샤피예, 박재현, 이태구  외 1명
                                        
정보 더 보기/감추기



크리스 브래디
카를 튈스
샤예간 오미드샤피예
박재현
이태구
구멍가게 코딩단",성안당,2025년 07월,20000,18000,13,930,N/A,"AI가 바둑 최고수를 이기고, 자율 주행차를 만들고, 이제 우리 생활 곳곳으로 스며들고 있다는 사실은 이제 더 이상 놀라운 일이 아니다. 그런데 AI가 프로 축구 팀의 전술을 수립하고, 운동선수의 부상을 예측하고,...",https://www.yes24.com/product/goods/148919900
진짜 업무에 쓰는 챗GPT 노코드 데이터 분석,이기복,디지털북스,2025년 03월,33000,29700,6,"1,998",N/A,"13년 경력의 시뮬레이션 연구원이 직접 현장에서 검증한 AI 데이터 분석 노하우 공개!이제는 더 이상 데이터 분석이 전문가만의 영역이 아니다. 비전공자라도, 코딩을 몰라도 누구나 챗GPT와 노코드 도구를 활용해 ...",https://www.yes24.com/product/goods/142788864
실무로 통하는 LLM 애플리케이션 설계,수하스 파이 /박조은 역,한빛미디어,2025년 10월,33000,29700,6,672,N/A,"아키텍처 설계부터 최적화까지한 권으로 배우는 LLM 애플리케이션 개발 전략대규모 언어 모델(LLM)은 그 자체로도 강력한 도구이지만, 이를 실제 제품과 서비스로 발전시키려면 체계적인 설계와 기술 전략이 필요하...",https://www.yes24.com/product/goods/158678739
심층 학습,"이안 굿펠로, 요슈아 벤지오, 에런 쿠빌 /류광 역",제이펍,2018년 10월,42000,37800,13,672,N/A,"심층 학습을 위한 완벽한 참고서이자 바이블!심층 학습의 다양한 주제를 소개하는 책이다. 심층 학습과 관련된 선형대수, 확률론, 정보 이론, 수치 계산, 기계 학습의 여러 주요 개념을 소개한 다음, 심층 순방향 신...",https://www.yes24.com/product/goods/65576412
"대규모 언어 모델, 핵심만 빠르게!",안드리 부르코프 /박해선 역,인사이트(insight),2025년 10월,24000,21600,1,648,N/A,"복잡한 이론은 덜고, 꼭 필요한 핵심만 담았다!언어 모델링을 익히는 가장 간결한 안내서이 책은 안드리 부르코프의 베스트셀러 《머신러닝, 핵심만 빠르게!》의 후속작으로, 언어 모델링의 기초부터 시작하여 최신 ...",https://www.yes24.com/product/goods/159566794
"1인 앱 개발, 커서 AI와 함께 배우기",이석현,아이콕스(iCox),2025년 09월,30000,27000,1,669,N/A,"챗GPT로 기획하고, 커서 AI로 개발한다.구글 플레이스토어 출시와 광고 수익화까지….1인 개발의 전 과정을 담은 실전 가이드북코딩 전문가가 아니더라도, 아이디어만 있다면 1인 개발이 가능한 시대가 열렸다. 이 ...",https://www.yes24.com/product/goods/152449732
프로그래머를 위한 확률과 통계,"히라오카 카즈유키, 호리 겐 /이창신 역",길벗,2019년 05월,32000,28800,4,600,N/A,"확률과 통계, 곰곰이 생각하면 이해할 수 있다!확률과 통계를 공부한다고 하면 보통 산술적으로 어떻게 계산하는지, 활용 분야에 어떻게 사용하는지를 배운다. 허나 기초 없이 응용에 도전하는 것은 겉모습만 이해하...",https://www.yes24.com/product/goods/72336483
챗GPT를 활용한 40가지 파이썬 프로그램 만들기,장문철,앤써북,2023년 04월,17700,15930,16,612,N/A,단 한 줄의 코드 작성없이 원하는 파이썬 프로그램을 완성할 수 있다!“파이썬으로 실시간 주식조회 프로그램을 만들어줘”라고 질문하면 챗GPT는 알아서 프로그램 코드를 만들어준다. 하지만 질문 한 번에 완벽한 ...,https://www.yes24.com/product/goods/118342272
챗GPT 공부 혁명,"전지영, 백수현, 이효진, 장수영, 손소영",포르체,2025년 08월,23000,20700,14,"1,668",N/A,국영수사과 완전 정복! 과목별 맞춤 AI 공부법현직 중고등 교사들이 알려 주는 챗GPT 활용 전 과목 완전 정복!이미 많은 학생이 챗GPT를 활용하고 있지만 제대로 된 안내서가 없어 그 가능성과 활용이 무궁무진한 챗...,https://www.yes24.com/product/goods/150556693
생성형 AI 업무 활용 정석 - 테스팅 업무 적용편,권원일,STA(소프트웨어테스팅연구소),2025년 06월,30000,27000,0,594,N/A,"생성형 AI는 이제 누구나 사용하지만, 정작 조직 차원에서 자신과 동료들의 업무에 효과적으로 활용하는 경우는 드물다. 이 책은 이 문제를 해결하기 위해 집필되었다. 실무에서 파편적으로 쓰이던 방법을 체계적으...",https://www.yes24.com/product/goods/147983588
제가 만든 GPT는 당신이 만든 GPT와 전혀 다릅니다,유호석,리코멘드,2024년 06월,22000,19800,18,"1,710",N/A,상위 1% GPT를 만드는 가장 쉬운 방법ChatGPT 등장 이후 누구나 쉽게 고성능의 맞춤형 AI 챗봇을 만들 수 있는 시대가 되었다. 『제가 만든 GPT는 당신이 만든 GPT와 전혀 다릅니다』는 100개 이상의 GPT를 직접 개...,https://www.yes24.com/product/goods/126690034
강화 학습,오일석,한빛아카데미,2025년 07월,38000,38000,0,522,N/A,주요 개념과 알고리즘을 이해하고실습으로 구현하는 강화 학습 교과서『강화 학습』은 강화 학습의 기초부터 응용까지 체계적으로 배우고자 하는 독자를 대상으로 했다. 먼저 문제 해결을 위한 새로운 아이디어를 소...,https://www.yes24.com/product/goods/149677992
스테이블 디퓨전 실전 가이드,"시라이 아키히코, AICU 미디어 편집부",보누스,2024년 12월,26000,23400,4,408,N/A,"누구나 쉽게 스테이블 디퓨전을 시작할 수 있도록 도와주는 입문서다. 동시에 초보자도 고수가 될 수 있는 여러 노하우를 소개한다. 기초 환경 설정부터 고급 프롬프트 엔지니어링, AI 모델 커스터마이징 등 실습 중...",https://www.yes24.com/product/goods/140125099
AI 법률문서 작성법 : 형사사건편,김종엽,박영사,2025년 12월,28000,28000,2,642,N/A,"AI 시대, 형사 변호의 새로운 지평첫 번째 책 「김종엽 변호사가 공개하는 핵심 프롬프트: AI를 활용한 법률문서 작성법」을 통해 독자 여러분께 AI와 법률 실무의 새로운 만남을 소개해 드린 것이 엊그제 같습니다....",https://www.yes24.com/product/goods/167387442
구글 빅쿼리 완벽 가이드,"발리아파 락쉬마난, 조던 티가니 /변성윤, 장현희 역",책만,2020년 11월,35000,31500,2,468,N/A,"빅데이터, 데이터 엔지니어링, 머신러닝을 위한 대용량 데이터 분석과 처리의 모든 것협업과 신속함을 갖춘 작업 공간을 구축하는 동시에 페타바이트 규모의 데이터셋을 처리해보자. 이 책은 기업 전체에서 추출한 ...",https://www.yes24.com/product/goods/95562895
이토록 쉬운 37개 함수로 끝내는 실무 엑셀 with 챗GPT,박수경,루비페이퍼,2024년 09월,18000,16200,2,"1,743",N/A,"‘진짜’ 실무 엑셀은 37개 함수면 끝이다!데이터 관리, 자료 분석 등 10개 프로젝트로 탄탄히 다지는 엑셀 기본기실무에 필요한 엑셀은 생각보다 간단하다. 이 책은 군살을 모두 걷어냈다. 수식 작성에 필요한 기본...",https://www.yes24.com/product/goods/132892495
개발자는 글을 못 쓴다고요?,"전정은, 황수정",제이펍,2025년 11월,28000,25200,8,378,N/A,"문서는 실력이고, 글은 또 하나의 코드입니다 개발자는 오늘도 글을 씁니다. 커밋 메시지부터 리드미, 릴리스 노트, 기술 블로그까지 일의 많은 순간에 글이 필요합니다. 이 책은 그런 글을 더 잘 쓰고 싶은 개발자...",https://www.yes24.com/product/goods/163591750
데이터 드리븐 디자인,이현진,유엑스리뷰,2024년 07월,23000,20700,37,390,N/A,N/A,https://www.yes24.com/product/goods/129120910
시니어를 위한 똑똑한 AI 생활 with 챗GPT,진현주,시대인,2025년 03월,13000,11700,13,348,N/A,큰 그림과 예제로 쉽고 재미있게 배우는 유쾌한 챗GPT 입문서!컴퓨터의 챗GPT 기본 화면 구성부터 스마트폰 챗GPT 앱의 음성 모드 사용 방법까지챗GPT 사용의 핵심만 모았다!친절한 설명은 덤! 누구나 쉽고 빠르게 ...,https://www.yes24.com/product/goods/143574962
26개 프로젝트로 끝내는 콘텐츠 디자인 with 챗GPT,홍순성,한빛미디어,2025년 07월,28000,25200,16,"1,452",N/A,"카드 뉴스, 인스타툰, 숏폼용 이미지에 썸네일까지 총 26개의 콘텐츠 디자인을 완성하는 데 필요한 건 오로지 챗GPT뿐우리는 하나의 아이디어가 모든 형태의 콘텐츠로 자연스럽게 확장되는 시대의 문 앞에 서있다. ...",https://www.yes24.com/product/goods/148684384
스포츠와 AI,김도균,DH미디어(양원석),2025년 12월,30000,27000,0,264,N/A,"스포츠와 AI가 만드는 스포츠 산업의 흐름!이 책은 인공지능(AI)이 스포츠의 현장을 어떻게 변화시키고 있는지를 입체적으로 조망하며, 기술과 인간의 역량이 만나는 지점을 이해하도록 돕는다. 경기 분석, 전술 설...",https://www.yes24.com/product/goods/170379742
현직교사가 만든 가장 쉬운 캔바 수업 활용! 캔바로 무엇이든 만들 수 있다,"이서영, 유상숙, 양지현, 이상현",광문각출판미디어,2025년 11월,19000,19000,38,"1,890",N/A,"도구를 넘어, 교육과정을 디자인하다Canva는 단순히 멋진 디자인을 만드는 도구가 아닙니다. 이 책은 Canva의 도구적 기능보다 ‘교육과정 속에서 Canva가 어떻게 살아 움직일 수 있는가’에 초점을 맞췄습니다. Can...",https://www.yes24.com/product/goods/165325500
