title,product_url,image_url,author,publisher,publication_date,sales_price,original_price,rating,review_count
"바이브 코딩 너머 개발자 생존법: 개발자는 사라지지 않는다, 진화한다",https://www.yes24.com/product/goods/163601068,https://image.yes24.com/goods/163601068/L,애디 오스마니,한빛미디어,2025년 11월,20700,23000,9.7,25
베테랑 AI 전문가가 만든 가장 쉬운 나노바나나 활용! NanoBanana(나노바나나)로 무엇이든 만들 수 있다 (AI 영상 제작),https://www.yes24.com/product/goods/173235066,https://image.yes24.com/goods/173235066/L,이현,광문각출판미디어,2026년 01월,19000,19000,10.0,44
"어쨌든, 바이브 코딩",https://www.yes24.com/product/goods/168561327,https://image.yes24.com/goods/168561327/L,코다프레스,인사이트(insight),2025년 12월,19800,22000,10.0,44
AI 잘 쓰는 디자이너,https://www.yes24.com/product/goods/168263935,https://image.yes24.com/goods/168263935/L,전하린,이지스퍼블리싱,2025년 12월,18900,21000,10.0,10
입상 교사만 아는 아무도 말해주지 않은 인성교육 연구대회 1등급의 비밀,https://www.yes24.com/product/goods/174327620,https://image.yes24.com/goods/174327620/L,송경은,앤써북,2026년 01월,17820,19800,10.0,6
인공지능이 답할 때 교육은 무엇을 묻는가,https://www.yes24.com/product/goods/173183477,https://image.yes24.com/goods/173183477/L,함영기,에듀니티교육연구소(에듀니티),2026년 01월,18000,20000,10.0,6
한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,https://www.yes24.com/product/goods/152379887,https://image.yes24.com/goods/152379887/L,조훈,길벗,2025년 09월,23400,26000,8.9,19
LLM을 위한 프롬프트 엔지니어링,https://www.yes24.com/product/goods/170504549,https://image.yes24.com/goods/170504549/L,존 베리먼,제이펍,2026년 01월,25200,28000,9.6,5
AI 게임 개발 with 코덱스,https://www.yes24.com/product/goods/177187498,https://image.yes24.com/goods/177187498/L,정윤지(유리링),한빛미디어,2026년 02월,28800,32000,10.0,3
교사를 위한 패들렛 Padlet,https://www.yes24.com/product/goods/143786416,https://image.yes24.com/goods/143786416/L,안익재,앤써북,2025년 03월,15120,16800,10.0,47
"2026 빠르게 따는 SQLD(1권(이론)+2권(빈출 족보+기출&모의고사) 분권, 웹 CBT(PC/모바일) 제공, 시험 직전 Live 빠따 특강)",https://www.yes24.com/product/goods/174682218,https://image.yes24.com/goods/174682218/L,이유성,골든래빗,2026년 01월,21600,24000,10.0,15
AI 디자인 활용백과,https://www.yes24.com/product/goods/175122641,https://image.yes24.com/goods/175122641/L,채시은,스마트북스,2026년 01월,22500,25000,10.0,1
요즘 바이브 코딩 코덱스 완벽 가이드,https://www.yes24.com/product/goods/175110068,https://image.yes24.com/goods/175110068/L,윤재원,골든래빗,2026년 02월,25200,28000,10.0,17
MCP 실전 활용 & 서버 개발 핵심 가이드,https://www.yes24.com/product/goods/162224477,https://image.yes24.com/goods/162224477/L,AI튜터랩,위키북스,2025년 11월,25200,28000,10.0,1
챗GPT 구구단,https://www.yes24.com/product/goods/174080422,https://image.yes24.com/goods/174080422/L,유경식(피치타이탄),여의도책방,2026년 01월,23400,26000,9.6,10
생성형 AI 활용 업무혁신,https://www.yes24.com/product/goods/176025748,https://image.yes24.com/goods/176025748/L,최재용,미디어북,2026년 01월,20000,20000,10.0,14
대체불가 나노 바나나 완전정복,https://www.yes24.com/product/goods/176990624,https://image.yes24.com/goods/176990624/L,이용태,책바세,2026년 02월,24300,27000,10.0,2
핸즈온 LLM,https://www.yes24.com/product/goods/146828240,https://image.yes24.com/goods/146828240/L,제이 알아마르,한빛미디어,2025년 06월,34200,38000,9.7,21
혼자 AI로 끝까지 완성하는 풀스택 온라인 게임 개발,https://www.yes24.com/product/goods/174304314,https://image.yes24.com/goods/174304314/L,정금호,로드북,2026년 01월,27000,30000,,0
콘텐츠 디자인은 피그마 with AI,https://www.yes24.com/product/goods/150110126,https://image.yes24.com/goods/150110126/L,김선영,골든래빗,2025년 08월,23400,26000,9.8,9
혼자서도 척척 해내는 AI 에이전트 만들기 with 랭체인 & 랭그래프,https://www.yes24.com/product/goods/172726927,https://image.yes24.com/goods/172726927/L,강병진,제이펍,2026년 01월,25200,28000,,0
미드저니 마스터 바이블,https://www.yes24.com/product/goods/145099755,https://image.yes24.com/goods/145099755/L,조남경,비엘북스,2025년 04월,29700,33000,9.5,8
올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,https://www.yes24.com/product/goods/168727208,https://image.yes24.com/goods/168727208/L,서영배,위키북스,2026년 01월,25200,28000,3.0,2
"요즘 AI 에이전트 개발, LLM RAG ADK MCP LangChain A2A LangGraph",https://www.yes24.com/product/goods/150701473,https://image.yes24.com/goods/150701473/L,박승규,골든래빗,2025년 08월,28800,32000,,0
AI로 7일 만에 사업 시작하기,https://www.yes24.com/product/goods/146828776,https://image.yes24.com/goods/146828776/L,김다솔,길벗,2025년 06월,19800,22000,9.2,51
이론부터 실전까지 AI 에이전트 완벽 마스터,https://www.yes24.com/product/goods/167253365,https://image.yes24.com/goods/167253365/L,살바토레 라이엘리,프리렉,2025년 11월,37800,42000,10.0,3
한 걸음 앞선 일잘러가 지금 꼭 알아야 할 바이브 코딩 with 커서,https://www.yes24.com/product/goods/176548558,https://image.yes24.com/goods/176548558/L,김태헌,길벗,2026년 02월,27000,30000,10.0,1
밑바닥부터 시작하는 딥러닝 2,https://www.yes24.com/product/goods/72173703,https://image.yes24.com/goods/72173703/L,사이토 고키,한빛미디어,2019년 05월,26100,29000,9.9,45
리더는 AI에게 질문하지 않는다,https://www.yes24.com/product/goods/168871803,https://image.yes24.com/goods/168871803/L,김희연,북피움,2026년 01월,20700,23000,,0
